iter	Passed	Remaining
688	45746	87044
689	45909	87161
690	46061	87256
691	46153	87238
692	46200	87134
693	46242	87020
694	46294	86927
695	46348	86837
696	46395	86734
697	46445	86635
698	46508	86563
699	46557	86463
700	46606	86365
701	46660	86274
702	46712	86182
703	46766	86092
704	46811	85986
705	46876	85917
706	46929	85827
707	46978	85729
708	47032	85639
709	47074	85529
710	47108	85404
711	47164	85320
712	47213	85222
713	47270	85139
714	47327	85057
715	47376	84960
716	47436	84882
717	47489	84792
718	47548	84715
719	47585	84596
720	47635	84502
721	47688	84413
722	47753	84344
723	47804	84252
724	47848	84146
725	47894	84045
726	47953	83967
727	47992	83854
728	48037	83752
729	48082	83650
730	48117	83531
731	48155	83416
732	48204	83321
733	48256	83232
734	48297	83124
735	48361	83054
736	48394	82934
737	48451	82853
738	48511	82778
739	48564	82690
740	48611	82593
741	48652	82486
742	48699	82390
743	48757	82311
744	48806	82218
745	48854	82122
746	48901	82025
747	48944	81923
748	48993	81830
749	49052	81753
750	49098	81657
751	49163	81590
752	49214	81500
753	49277	81432
754	49321	81332
755	49379	81253
756	49430	81165
757	49488	81087
758	49542	81003
759	49598	80923
760	49641	80821
761	49694	80737
762	49750	80656
763	49800	80567
764	49849	80475
765	49897	80383
766	49953	80302
767	50000	80208
768	50061	80138
769	50114	80053
770	50152	79944
771	50200	79852
772	50252	79766
773	50296	79668
774	50353	79591
775	50401	79500
776	50458	79421
777	50508	79332
778	50562	79251
779	50599	79143
780	50656	79065
781	50717	78994
782	50767	78906
783	50829	78838
784	50882	78754
785	50925	78655
786	50976	78570
787	51089	78579
788	51232	78635
789	51404	78733
790	51590	78853
791	51634	78755
792	51693	78681
793	51766	78627
794	51847	78587
795	51934	78554
796	51991	78477
797	52046	78395
798	52100	78313
799	52169	78254
800	52454	78518
801	52512	78440
802	52562	78353
803	52612	78264
804	52670	78187
805	52721	78100
806	52763	78001
807	52811	77910
808	52850	77806
809	52876	77683
810	52923	77590
811	52971	77499
812	53030	77426
813	53076	77332
814	53121	77237
815	53165	77141
816	53214	77053
817	53253	76951
818	53288	76842
819	53327	76739
820	53361	76629
821	53394	76518
822	53428	76409
823	53462	76300
824	53496	76191
825	53527	76078
826	53562	75971
827	53599	75868
828	53642	75772
829	53692	75687
830	53730	75584
831	53778	75496
832	53818	75397
